audio,label,labels,human_label,human_labels,path,dataset_source,split,env,emergency,file_exists,audio_format,duration,sample_rate,channels,bit_depth,bit_velocity,size,date_modification,alertable
1-115545-A-48.wav,/m/0g6b5,,fire,,ESC50/1-115545-A-48.wav,ESC50,train,indefinida,True,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,True
1-115545-B-48.wav,/m/0g6b5,,fire,,ESC50/1-115545-B-48.wav,ESC50,test,indefinida,True,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,True
1-115545-C-48.wav,/m/0g6b5,,fire,,ESC50/1-115545-C-48.wav,ESC50,train,indefinida,True,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,True
1-115546-A-48.wav,/m/0g6b5,,fire,,ESC50/1-115546-A-48.wav,ESC50,train,indefinida,True,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,True
1-137296-A-16.wav,/m/0ngt1,,weather,,ESC50/1-137296-A-16.wav,ESC50,train,exterior,False,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
1-155858-A-25.wav,/C/footsteps_6508b080,,footsteps,,ESC50/1-155858-A-25.wav,ESC50,train,,,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
1-155858-B-25.wav,/C/footsteps_6508b080,,footsteps,,ESC50/1-155858-B-25.wav,ESC50,train,,,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
1-155858-C-25.wav,/C/footsteps_6508b080,,footsteps,,ESC50/1-155858-C-25.wav,ESC50,train,,,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
1-155858-D-25.wav,/C/footsteps_6508b080,,footsteps,,ESC50/1-155858-D-25.wav,ESC50,train,,,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
1-155858-E-25.wav,/C/footsteps_6508b080,,footsteps,,ESC50/1-155858-E-25.wav,ESC50,train,,,True,wav,5.0,44100,Mono,16.0,705600.0,430.71,2026-05-07 22:08:46,False
