"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"ghvLSUXD5pU_seg275.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/ghvLSUXD5pU_seg275.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:46"
"RjKX0DCbqfk_seg97.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/RjKX0DCbqfk_seg97.wav","youtube","test","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:49"
"8KrLtLr-Gy8_seg348.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/8KrLtLr-Gy8_seg348.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:37"
"ghvLSUXD5pU_seg340.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/ghvLSUXD5pU_seg340.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:46"
"ghvLSUXD5pU_seg136.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/ghvLSUXD5pU_seg136.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:45"
"NrD7RaMnygk_seg237.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/NrD7RaMnygk_seg237.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:48"
"RjKX0DCbqfk_seg174.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/RjKX0DCbqfk_seg174.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:50"
"RjKX0DCbqfk_seg198.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/RjKX0DCbqfk_seg198.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:50"
"a2oTn-yBEZc_seg34.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/a2oTn-yBEZc_seg34.wav","youtube","test","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:37"
"NrD7RaMnygk_seg47.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/NrD7RaMnygk_seg47.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:47"
"RjKX0DCbqfk_seg311.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/RjKX0DCbqfk_seg311.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:50"
"CIj-ZDSjZ2E_seg264.wav","/C/fire_015f28b9","[""/C/fire_015f28b9""]","fire","[""fire""]","/home/andres/Documentos/proyecto4geeks/data/raw/youtube/fire/CIj-ZDSjZ2E_seg264.wav","youtube","train","","True","True","True","wav","5.0","16000","Mono","16","256000","156.29","2026-05-18 18:23:41"
