file,probable_car_crash,duration,peak,rms,centroid,rolloff,flatness,zcr,kurtosis,attack_ratio,crest_factor
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1805.wav,True,5.0,0.971469521522522,0.10334450006484985,2182.181290271943,4537.2751871744795,0.00030843561398796737,0.13411910445601852,6.718157768249512,1.6057780981063843,9.400302105129091
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1527.wav,False,5.0,0.38900673389434814,0.10576049238443375,729.7378348180487,1277.4373372395833,0.027802517637610435,0.026037145543981483,0.1642441749572754,0.700177013874054,3.678185730042285
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1152.wav,True,5.0,0.2529102861881256,0.06435241550207138,1252.327108691722,2594.9503580729165,9.173108264803886e-05,0.03878219039351852,0.23137426376342773,0.8339426517486572,3.930082254271478
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1811.wav,True,5.0,1.001042127609253,0.20894068479537964,654.6196001004552,1192.1518961588542,0.12066381424665451,0.017460575810185185,2.872562885284424,1.0889308452606201,4.791034970450132
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1365.wav,True,5.0,0.5570193529129028,0.08349772542715073,1602.363412159628,3090.2140299479165,9.415583190275356e-05,0.09495261863425926,2.59124755859375,1.5718551874160767,6.6710721765973675
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/BEST OF CAR CRASHES 2024 (so far) - Dashcam Lessons_seg182.wav,True,5.0,0.6849583983421326,0.12580589950084686,1141.246149081985,2072.620646158854,6.787380698369816e-05,0.06262659143518519,6.872076988220215,2.9990596771240234,5.444565008909437
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg245.wav,True,5.0,0.5428692102432251,0.09885021299123764,800.1331502662848,1431.1604817708333,5.4737152822781354e-05,0.054027416087962965,2.1850290298461914,0.8921559453010559,5.491836525287555
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/BEST OF CAR CRASHES 2024 (so far) - Dashcam Lessons_seg105.wav,True,5.0,0.27368688583374023,0.07509817183017731,2918.0279048165157,5554.5196533203125,0.0006012559169903398,0.23048457392939814,1.4041962623596191,1.7949647903442383,3.64438812770297
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/BEST OF CAR CRASHES 2024 (so far) - Dashcam Lessons_seg84.wav,True,5.0,0.3236425817012787,0.08275388181209564,319.6510722445699,550.7914225260416,0.5511842370033264,0.00818775318287037,3.410127639770508,2.0980623105515406e-07,3.910905139558817
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg537.wav,False,5.0,0.43386369943618774,0.116231270134449,675.9527931901289,1292.9392496744792,2.3719378077657893e-05,0.02923357928240741,0.07142090797424316,1.011955976486206,3.73276226725036
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg2086.wav,True,5.0,0.7907207012176514,0.10821264982223511,1175.469949183599,2255.254109700521,0.00012860608694609255,0.05626537181712963,1.1442174911499023,1.0204180479049683,7.307100440745977
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg125.wav,False,5.0,0.2924034893512726,0.09260399639606476,585.5984734032251,1078.6539713541667,4.409808389027603e-05,0.018647370515046297,-0.9138777256011963,1.026798963546753,3.157568795384524
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/BEST OF CAR CRASHES 2024 (so far) - Dashcam Lessons_seg573.wav,False,5.0,0.5192694067955017,0.11983364820480347,336.7346993644239,560.162353515625,8.891971447155811e-06,0.011730052806712963,1.1513710021972656,0.8785371780395508,4.333252092131113
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg2090.wav,True,5.0,1.001034140586853,0.11914879083633423,1763.0853145067133,3739.599609375,0.00018028706836048514,0.09808575665509259,4.775113105773926,1.6886239051818848,8.401546784922871
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1930.wav,True,5.0,0.5890400409698486,0.11121900379657745,1275.478623842266,2768.4122721354165,0.0001103369431803003,0.04869701244212963,1.152595043182373,0.5600854158401489,5.296217560462261
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg73.wav,True,5.0,0.7211296558380127,0.09036841988563538,243.65807046548892,428.5207112630208,3.808226756518707e-05,0.007213451244212963,5.073346138000488,1.404248833656311,7.979885636405388
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1126.wav,True,5.0,1.0622466802597046,0.2024635225534439,928.0972169835233,1836.2040201822917,0.09730209410190582,0.044209798177083336,6.359119415283203,0.4423566162586212,5.246607719047557
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/🚨 The Most Horrific Car Crashes Ever Recorded! Learn to Drive! 🚨 - RR&BD Driving School_seg1307.wav,True,5.0,0.23182329535484314,0.08656799793243408,1088.1110389216622,2047.3490397135417,0.01675240695476532,0.06555853949652778,-0.6221423149108887,0.41168543696403503,2.677932964709455
/home/andres/Documentos/proyecto4geeks/data/raw/youtube/car_crash/BEST OF CAR CRASHES 2024 (so far) - Dashcam Lessons_seg749.wav,True,5.0,0.804582417011261,0.16374565660953522,946.601462928739,1904.9906412760417,0.055598028004169464,0.04202609592013889,0.8432414531707764,0.4208660423755646,4.913610740374868
