canonical,synonym
instrument,Bass_drum
instrument,Bass_guitar
instrument,Acoustic_guitar
instrument,Electric_guitar
instrument,Guitar
instrument,Strum
instrument,Wind_instrument_and_woodwind_instrument
instrument,Bowed_string_instrument
instrument,Plucked_string_instrument
instrument,Harp
instrument,Accordion
instrument,Keyboard_(musical)
instrument,Musical_instrument
instrument,Piano
instrument,Organ
instrument,Brass_instrument
instrument,Trumpet
instrument,Gong
instrument,Harmonica
instrument,Percussion
instrument,Drum
instrument,Drum_kit
instrument,Snare_drum
instrument,Cymbal
instrument,Crash_cymbal
instrument,Hi-hat
instrument,Tabla
instrument,Tambourine
instrument,Mallet_percussion
instrument,Marimba_and_xylophone
instrument,Glockenspiel
instrument,Cowbell
instrument,Rattle_(instrument)
instrument,Scratching_(performance_technique)
another_animal,Animal
another_animal,Domestic_animals_and_pets
another_animal,Livestock_and_farm_animals_and_working_animals
another_animal,Frog
another_animal,Wild_animals
dog,Dog
dog,Bark
dog,dog_bark
dog,Growling
another_animal,Cat
another_animal,Meow
another_animal,Purr
another_animal,Bird
another_animal,Bird_vocalization_and_bird_call_and_bird_song
another_animal,Chirp_and_tweet
another_animal,Crow
another_animal,Chicken_and_rooster
another_animal,Fowl
another_animal,Gull_and_seagull
another_animal,Insect
another_animal,Cricket

voice,Speech
voice,Human_voice
voice,Conversation
voice,Chatter
voice,Whispering
voice,Female_speech_and_woman_speaking
voice,Male_speech_and_man_speaking
voice,Child_speech_and_kid_speaking
voice,Speech_synthesizer
voice,RAVDESS_surprised
voice,Surprised_speech
voice,Singing
voice,Male_singing
voice,Female_singing
voice,Applause
voice,Cheering
voice,Clapping
voice,Chuckle_and_chortle
voice,Giggle
voice,Laughter
voice,laughing
fight,Screech
fight,Yell
fight,Shout
fight,Screaming
fight,scream
fight,RAVDESS_angry
fight,Angry_speech
fight,RAVDESS_fearful
fight,Fearful_speech
fight,fight
breathing,Breathing
breathing,Gasp
breathing,Sigh
breathing,Cough
breathing,Sneeze
breathing,Respiratory_sounds
breathing,Hiss
crying,Crying_and_sobbing
crying,babycry
crying,RAVDESS_disgust
crying,Disgust_speech
alert_sirem,Alarm
alert_sirem,Siren
alert_sirem,siren
domestic_activity,Ringtone
domestic_activity,Telephone
domestic_activity,Squeak
domestic_activity,Domestic_sounds_and_home_sounds
domestic_activity,Bell
domestic_activity,Bicycle_bell
domestic_activity,Church_bell
domestic_activity,Chime
domestic_activity,Wind_chime
domestic_activity,wind
domestic_activity,Clock
domestic_activity,Tick
domestic_activity,Tick-tock
car_horn,Vehicle_horn_and_car_horn_and_honking
car_horn,car_horn
engine,Engine
engine,engine
engine,Idling
engine,engine_idling
engine,Engine_starting
engine,Accelerating_and_revving_and_vroom
traffic,Traffic_noise_and_roadway_noise
traffic,Car_passing_by
traffic,Motor_vehicle_(road)
traffic,Vehicle
traffic,Bus
traffic,Car
traffic,Truck
traffic,Motorcycle
traffic,Race_car_and_auto_racing
traffic,Bicycle
traffic,Train
traffic,Rail_transport
traffic,Subway_and_metro_and_underground
traffic,Aircraft
traffic,Fixed-wing_aircraft_and_airplane
traffic,Boat_and_Water_vehicle
construction_noise,Tools
construction_noise,construction_tool
construction_noise,Hammer
construction_noise,Sawing
construction_noise,Scissors
construction_noise,Power_tool
construction_noise,Drill
construction_noise,Drilling
construction_noise,construction_tool
construction_noise,Jackhammer
construction_noise,Pneumatic_jackhammer
construction_noise,Pneumatic_drill
doors,Door
doors,Doorbell
doors,Drawer_open_or_close
doors,Sliding_door
doors,Cupboard_open_or_close
doors,Knock
glass_metal,Glass
glass_metal,glassbreak
glass_metal,Shatter
glass_metal,Crack
glass_metal,Crackle
glass_metal,Chink_and_clink
glass_metal,Coin_(dropping)
glass_metal,Keys_jangling
glass_metal,Rattle
glass_metal,Rattle_(instrument)
glass_metal,Crushing
glass_metal,Slam
glass_metal,Thump_and_thud
glass_metal,Tap
glass_metal,glass_breaking
water,Water
water,Liquid
water,Pour
water,Splash_and_splatter
water,Stream
water,Trickle_and_dribble
water,Drip
water,Boiling
water,Bathtub_(filling_or_washing)
water,Sink_(filling_or_washing)
water,Water_tap_and_faucet
water,Gurgling
water,Fill_(with_liquid)
weather,Rain
weather,Raindrop
weather,Thunder
weather,Thunderstorm
weather,Wind
weather,wind
weather,Waves_and_surf
weather,Ocean
weather,Whoosh_and_swoosh_and_swish
fire,Fire
fire,Fireworks
fire,fireworks
explosion,Explosion
explosion,Boom
domestic_activity,Chewing_and_mastication
domestic_activity,Frying_(food)
domestic_activity,Dishes_and_pots_and_pans
domestic_activity,Cutlery_and_silverware
domestic_activity,Burping_and_eructation
domestic_activity,Fart
domestic_activity,Crumpling_and_crinkling
domestic_activity,Tearing
domestic_activity,Writing
domestic_activity,Packing_tape_and_duct_tape
domestic_activity,Computer_keyboard
domestic_activity,Typing
domestic_activity,Zipper_(clothing)
domestic_activity,Camera
machine,Printer
machine,Typewriter
machine,Microwave_oven
machine,Mechanisms
machine,Ratchet_and_pawl
machine,Mechanical_fan
machine,Buzz
ambient_noise,Wood
ambient_noise,Crowd
ambient_noise,Run
ambient_noise,Walk_and_footsteps
ambient_noise,Sliding_door
ambient_noise,ambient_noise
ambient_noise,Air_conditioner
ambient_noise,AC
ambient_noise,Finger_snapping
ambient_noise,Aircon
ambient_noise,Air_conditioning
ambient_noise,human_activity
ambient_noise,Children_playing
ambient_noise,Kids_playing
ambient_noise,Playground_activity
ambient_noise,Human_group_actions
ambient_noise,Hands
ambient_noise,Skateboard
ambient_noise,Street_music
ambient_noise,music
ambient_noise,Busking
ambient_noise,Live_music
ambient_noise,footsteps
ambient_noise,Street_performance
gun_shot,Gun_shot
gun_shot,Gunshot
gun_shot,gunshot
gun_shot,Gunshot_and_gunfire
gun_shot,Firearm_discharge
gun_shot,Zastava M92
gun_shot,AK-12
gun_shot,AK-47
gun_shot,M16
gun_shot,MP5
gun_shot,M4
gun_shot,IMI Desert Eagle
gun_shot,MG-42
gun_shot,M249
water,Toilet_flush
