filename,fold,target,category,esc10,src_file,take
1-115545-A-48.wav,1,48,fireworks,False,115545,A
1-115545-B-48.wav,1,48,fireworks,False,115545,B
1-115545-C-48.wav,1,48,fireworks,False,115545,C
1-115546-A-48.wav,1,48,fireworks,False,115546,A
1-137296-A-16.wav,1,16,wind,False,137296,A
1-155858-A-25.wav,1,25,footsteps,False,155858,A
1-155858-B-25.wav,1,25,footsteps,False,155858,B
1-155858-C-25.wav,1,25,footsteps,False,155858,C
1-155858-D-25.wav,1,25,footsteps,False,155858,D
1-155858-E-25.wav,1,25,footsteps,False,155858,E
1-155858-F-25.wav,1,25,footsteps,False,155858,F
1-160563-A-48.wav,1,48,fireworks,False,160563,A
1-160563-B-48.wav,1,48,fireworks,False,160563,B
1-17124-A-43.wav,1,43,car_horn,False,17124,A
1-1791-A-26.wav,1,26,laughing,False,1791,A
1-18527-A-44.wav,1,44,engine,False,18527,A
1-18527-B-44.wav,1,44,engine,False,18527,B
1-18631-A-23.wav,1,23,breathing,False,18631,A
1-19026-A-43.wav,1,43,car_horn,False,19026,A
1-20133-A-39.wav,1,39,glass_breaking,False,20133,A
1-223162-A-25.wav,1,25,footsteps,False,223162,A
1-22882-A-44.wav,1,44,engine,False,22882,A
1-24074-A-43.wav,1,43,car_horn,False,24074,A
1-24076-A-43.wav,1,43,car_horn,False,24076,A
1-254507-A-43.wav,1,43,car_horn,False,254507,A
1-25777-A-48.wav,1,48,fireworks,False,25777,A
1-25781-A-48.wav,1,48,fireworks,False,25781,A
1-26176-A-43.wav,1,43,car_horn,False,26176,A
1-26177-A-43.wav,1,43,car_horn,False,26177,A
1-28808-A-43.wav,1,43,car_horn,False,28808,A
1-29532-A-16.wav,1,16,wind,False,29532,A
1-30039-A-26.wav,1,26,laughing,False,30039,A
1-30043-A-26.wav,1,26,laughing,False,30043,A
1-30709-A-23.wav,1,23,breathing,False,30709,A
1-30709-B-23.wav,1,23,breathing,False,30709,B
1-30709-C-23.wav,1,23,breathing,False,30709,C
1-31482-A-42.wav,1,42,siren,False,31482,A
1-31482-B-42.wav,1,42,siren,False,31482,B
1-33658-A-26.wav,1,26,laughing,False,33658,A
1-36164-A-26.wav,1,26,laughing,False,36164,A
1-36164-B-26.wav,1,26,laughing,False,36164,B
1-36393-A-23.wav,1,23,breathing,False,36393,A
1-36397-A-23.wav,1,23,breathing,False,36397,A
1-36400-A-23.wav,1,23,breathing,False,36400,A
1-36402-A-23.wav,1,23,breathing,False,36402,A
1-47709-A-16.wav,1,16,wind,False,47709,A
1-47714-A-16.wav,1,16,wind,False,47714,A
1-50454-A-44.wav,1,44,engine,False,50454,A
1-50455-A-44.wav,1,44,engine,False,50455,A
1-50661-A-44.wav,1,44,engine,False,50661,A
1-51035-A-16.wav,1,16,wind,False,51035,A
1-51036-A-16.wav,1,16,wind,False,51036,A
1-51037-A-16.wav,1,16,wind,False,51037,A
1-51147-A-25.wav,1,25,footsteps,False,51147,A
1-54084-A-42.wav,1,42,siren,False,54084,A
1-61261-A-44.wav,1,44,engine,False,61261,A
1-62565-A-44.wav,1,44,engine,False,62565,A
1-69760-A-16.wav,1,16,wind,False,69760,A
1-72695-A-26.wav,1,26,laughing,False,72695,A
1-73123-A-26.wav,1,26,laughing,False,73123,A
1-76831-A-42.wav,1,42,siren,False,76831,A
1-76831-B-42.wav,1,42,siren,False,76831,B
1-76831-C-42.wav,1,42,siren,False,76831,C
1-76831-D-42.wav,1,42,siren,False,76831,D
1-76831-E-42.wav,1,42,siren,False,76831,E
1-84536-A-39.wav,1,39,glass_breaking,False,84536,A
1-84704-A-39.wav,1,39,glass_breaking,False,84704,A
1-84705-A-39.wav,1,39,glass_breaking,False,84705,A
1-85168-A-39.wav,1,39,glass_breaking,False,85168,A
1-85184-A-39.wav,1,39,glass_breaking,False,85184,A
1-88807-A-39.wav,1,39,glass_breaking,False,88807,A
1-977-A-39.wav,1,39,glass_breaking,False,977,A
2-100648-A-43.wav,2,43,car_horn,False,100648,A
2-104952-A-16.wav,2,16,wind,False,104952,A
2-104952-B-16.wav,2,16,wind,False,104952,B
2-106014-A-44.wav,2,44,engine,False,106014,A
2-106015-A-44.wav,2,44,engine,False,106015,A
2-106015-B-44.wav,2,44,engine,False,106015,B
2-106486-A-44.wav,2,44,engine,False,106486,A
2-106487-A-44.wav,2,44,engine,False,106487,A
2-106881-A-39.wav,2,39,glass_breaking,False,106881,A
2-107228-A-44.wav,2,44,engine,False,107228,A
2-107228-B-44.wav,2,44,engine,False,107228,B
2-109371-A-16.wav,2,16,wind,False,109371,A
2-109371-B-16.wav,2,16,wind,False,109371,B
2-109371-C-16.wav,2,16,wind,False,109371,C
2-109371-D-16.wav,2,16,wind,False,109371,D
2-109374-A-16.wav,2,16,wind,False,109374,A
2-109759-A-26.wav,2,26,laughing,False,109759,A
